episode,step,adj_mean,adj_diff
426,71,0.0834676846861839,2.1339426040649414
354,63,0.0834705382585525,1.857459306716919
375,21,0.2916844189167022,1.855601906776428
454,23,0.3212620615959167,1.851930260658264
308,54,0.1725185513496399,1.847750425338745
402,65,0.0834699869155883,1.8469918966293333
314,21,0.3206263780593872,1.8436415195465088
285,133,0.0834778621792793,1.701061487197876
495,119,0.0834724083542823,1.7010352611541748
369,179,0.0835002213716507,1.7008438110351562
314,124,0.0834790840744972,1.700610637664795
405,108,0.0834755077958107,1.7004626989364624
326,95,0.0834826454520225,1.7001609802246094
342,78,0.0834734737873077,1.700150728225708
418,73,0.0834786891937255,1.699615716934204
459,196,0.0834969654679298,1.6995248794555664
398,81,0.0834799781441688,1.6995179653167725
487,35,0.3213467001914978,1.6993359327316284
443,106,0.0834752842783927,1.699252963066101
395,21,0.2619677186012268,1.6987780332565308
